6773.thousand_nights_vol07_29_burton_64kb_0|“Do what seemeth good to thee.
6773.thousand_nights_vol07_29_burton_64kb_1|“Glory be to Him who created this youth ‘of vile water‘! Blessed be Allah excellentest of Creators!
6773.thousand_nights_vol07_29_burton_64kb_2|“This is no mortal, ‘this is naught save a noble angel’”;
6773.thousand_nights_vol07_29_burton_64kb_3|“Hath Rizwan, the door-keeper of the Eden-garden, left the gate of Paradise unguarded, that this youth hath come forth?
6773.thousand_nights_vol07_29_burton_64kb_4|“Who art thou, O elder?
6773.thousand_nights_vol07_29_burton_64kb_5|“I am the Overseer of the market.
6773.thousand_nights_vol07_29_burton_64kb_6|“Know then, O Shaykh, that this youth is my son and I wish to hire him a shop in the bazar, that he may sit therein and learn to sell and buy and take and give, and come to ken merchants’ ways and habits.
6773.thousand_nights_vol07_29_burton_64kb_7|“I hear and I obey,
6773.thousand_nights_vol07_29_burton_64kb_8|“Glory be to God who fashioned that face and perfected that figure!
6773.thousand_nights_vol07_29_burton_64kb_9|“From the parts of Hind, O my mother; and I have come to this city to see the world and look about me.
6773.thousand_nights_vol07_29_burton_64kb_10|“Honour to thee for a visitor! What goods and stuffs hast thou? Show me something handsome, fit for Kings.
6773.thousand_nights_vol07_29_burton_64kb_11|“If thou wish for handsome stuffs, I will show them to thee; for I have wares that beseem persons of every condition.
6773.thousand_nights_vol07_29_burton_64kb_12|“O my son, I want somewhat costly of price and seemly to sight; brief, the best thou hast.
6773.thousand_nights_vol07_29_burton_64kb_13|“Thou must needs tell me for whom thou seekest it, that I may show thee goods according to the rank of the requiter.
6773.thousand_nights_vol07_29_burton_64kb_14|“Thou speakest sooth, O my son,
6773.thousand_nights_vol07_29_burton_64kb_15|“I want somewhat for my mistress, Hayat al-Nufus, daughter of Abd al-Kadir, lord of this land and King of this country.
6773.thousand_nights_vol07_29_burton_64kb_16|“This is for the washing of thy clothes.
6773.thousand_nights_vol07_29_burton_64kb_17|“This is of that which I have brought to your country.
6773.thousand_nights_vol07_29_burton_64kb_18|“What is the price of this dress, O perfect in qualities?
6773.thousand_nights_vol07_29_burton_64kb_19|“I will take no price for it!
6773.thousand_nights_vol07_29_burton_64kb_20|“What is thy name, O my lord?
6773.thousand_nights_vol07_29_burton_64kb_21|“My name is Ardashir;
6773.thousand_nights_vol07_29_burton_64kb_22|“By Allah this is a rare name! Therewith are Kings’ sons named, and thou art in a guise of the sons of the merchants!
6773.thousand_nights_vol07_29_burton_64kb_23|“Of the love my father bore me, he gave me this name, but a name signifieth naught;
6773.thousand_nights_vol07_29_burton_64kb_24|“O my son, take the price of thy goods.
6773.thousand_nights_vol07_29_burton_64kb_25|“O my dear one, Truth (I would have thee know) is the greatest of all things and thou hadst not dealt thus generously by me but for a special reason: so tell me thy case and thy secret thought; belike thou hast some wish to whose winning I may help thee.
6773.thousand_nights_vol07_29_burton_64kb_26|“And what is that, O my mother?
6773.thousand_nights_vol07_29_burton_64kb_27|“Seek of me the daughter of a Wazir or an Emir, and I will grant thy request; but it may not be that one should mount from earth to heaven at one bound.
6773.thousand_nights_vol07_29_burton_64kb_28|“O my mother, thou art a woman of wit and knowest how things go. Say me doth a man, when his head irketh him, bind up his hand?
6773.thousand_nights_vol07_29_burton_64kb_29|“No, by Allah, O my son
6773.thousand_nights_vol07_29_burton_64kb_30|“Allah upon thee, O my mother, take pity on my strangerhood and the streaming of my tears.
6773.thousand_nights_vol07_29_burton_64kb_31|“By Allah, O my son, thy words rend my heart, but my hand hath no cunning wherewith to help thee.
6773.thousand_nights_vol07_29_burton_64kb_32|“I beseech thee of thy favour, carry her a letter and kiss her hands for me.
6773.thousand_nights_vol07_29_burton_64kb_33|“Write what thou wilt and I will bear it to her.
6773.thousand_nights_vol07_29_burton_64kb_34|“Divide this among the slave-girls.
6773.thousand_nights_vol07_29_burton_64kb_35|“There is no help but that thou accept of it.
6773.thousand_nights_vol07_29_burton_64kb_36|“O my lady, I have brought thee somewhat the like whereof is not with the people of our city, and it cometh from a handsome young man, than whom there is not a goodlier on earth’s face!
6773.thousand_nights_vol07_29_burton_64kb_37|“O my nurse, and whence cometh the youth?
6773.thousand_nights_vol07_29_burton_64kb_38|“From the parts of Hind; and he hath given me this dress of gold brocade, embroidered with pearls and gems and worth the Kingdom of Chosroës and Cæsar.
6773.thousand_nights_vol07_29_burton_64kb_39|“O my nurse, cometh this dress from him or from another?”
6773.thousand_nights_vol07_29_burton_64kb_40|“Is this trader of our town or a stranger?
6773.thousand_nights_vol07_29_burton_64kb_41|“He is a foreigner, O my lady, newly come hither; and by Allah he hath servants and slaves; and he is fair of face, symmetrical of form, well mannered, open-handed and open-hearted, never saw I a goodlier than he, save thyself.
6773.thousand_nights_vol07_29_burton_64kb_42|“Indeed this is an extraordinary thing, that a dress like this, which money cannot buy, should be in the hands of a merchant! What price did he set on it, O my nurse?
6773.thousand_nights_vol07_29_burton_64kb_43|“By Allah, this is indeed marvellous generosity and wondrous munificence! But I fear the issue of his affair, lest haply he be brought to necessity. Why didst thou not ask him, O my nurse, if he had any desire, that we might fulfil it for him?
6773.thousand_nights_vol07_29_burton_64kb_44|“O my lady, I did ask him, and he said to me, ‘I have indeed a desire’; but he would not tell me what it was. However, he gave me this letter and said, ‘Carry it to the Princess.’
6773.thousand_nights_vol07_29_burton_64kb_45|“Softly, O my lady! What is there in his letter to trouble thee thus? Is it aught but a memorial containing his complaint to thee of poverty or oppression, from which he hopeth to be relieved by thy favour?
6773.thousand_nights_vol07_29_burton_64kb_46|“I fear lest he presume, if I write to him
6773.thousand_nights_vol07_29_burton_64kb_47|“And pray what is he and what is his rank that he should presume to us? Indeed, we write him but to the intent that his presumption may be cut off and his fear magnified.
6773.thousand_nights_vol07_29_burton_64kb_48|“Read thine answer and know that when she perused thy paper she was wroth with exceeding wrath; but I soothed her and spake her fair, till she consented to write thee a reply.
6773.thousand_nights_vol07_29_burton_64kb_49|“O my son, Allah never cause thine eyes to weep nor thy heart to mourn! What can be more gracious than that she should answer thy letter when thou hast done what thou diddest?
6773.thousand_nights_vol07_29_burton_64kb_50|“Write and I warrant I’ll bring thee an answer. By Allah, I will assuredly venture my life to win for thee thy wish, though I die to pleasure thee!
6773.thousand_nights_vol07_29_burton_64kb_51|“Needs must I bring thee to thy desire, despite the noses of thy foes.
6773.thousand_nights_vol07_29_burton_64kb_52|“What is this, O my nurse? Here are we in a correspondence and thou coming and going! Indeed, I fear lest the matter get wind and we be disgraced.
6773.thousand_nights_vol07_29_burton_64kb_53|“How so, O my lady? Who dare speak such word?
6773.thousand_nights_vol07_29_burton_64kb_54|“Verily, this is a calamity which is fallen upon us, and I know not whence this young man came to us!
6773.thousand_nights_vol07_29_burton_64kb_55|“O my lady, Allah upon thee, write him another letter; but be rough with him this time and say to him, ‘An thou write me another word after this, I will have thy head struck off.’
6773.thousand_nights_vol07_29_burton_64kb_56|“O my nurse, I am assured that the matter will not end on such wise; ’twere better to break off this exchange of letters; and, except the puppy take warning by my previous threats, I will strike off his head.
6773.thousand_nights_vol07_29_burton_64kb_57|“Then write him a letter and give him to know this condition.
6773.thousand_nights_vol07_29_burton_64kb_58|“O my mother, what shall I say, seeing that she doth but threaten me and redoubleth in hard-heartedness and aversion?
6773.thousand_nights_vol07_29_burton_64kb_59|“Write her a letter of what thou wilt: I will protect thee; nor let thy heart be cast down, for needs must I bring you twain together.
6773.thousand_nights_vol07_29_burton_64kb_60|“This is for the washing of thy hands.
6773.thousand_nights_vol07_29_burton_64kb_61|“O my lady, he is gone forth a-hunting and sporting.
6773.thousand_nights_vol07_29_burton_64kb_62|“O my lady, whither went those noble steps?
6773.thousand_nights_vol07_29_burton_64kb_63|“To the palace of the King my sire.
6773.thousand_nights_vol07_29_burton_64kb_64|“And could no one do thine errand?
6773.thousand_nights_vol07_29_burton_64kb_65|“No, for I went to acquaint him of that which hath befallen me with yonder cur of a merchant, so he might lay hands on him and on all the merchants of his bazar and crucify them over their shops nor suffer a single foreign merchant to tarry in our town.
6773.thousand_nights_vol07_29_burton_64kb_66|“Yes, but I found him absent a-hunting and sporting and now I await his return.
